source,bucket,episodes,wins,losses,pushes,reward_sum,win_rate,loss_rate,push_rate,average_reward,stand_actions,hit_actions,stand_rate,hit_rate,agent_name,agent_type,train_seed,eval_seed,comparison_id
20260608_170145_counting-42_agent,1 to 2,184235,78173,90070,15992,-11897.0,0.4243113414932016,0.48888647651097783,0.08680218199582056,-0.0645751350177762,155048,141753,0.5223971617346302,0.4776028382653697,counting-42,counting,42,9876,counting-42 | 20260608_170145_counting-42_agent
20260608_170145_counting-42_agent,>= 3,88222,37656,43204,7362,-5548.0,0.42683230940128314,0.48971911768039716,0.0834485729183197,-0.06288680827911405,76906,62038,0.5535035697835099,0.4464964302164901,counting-42,counting,42,9876,counting-42 | 20260608_170145_counting-42_agent
20260608_170145_baseline-123_agent,<= -3,91705,39871,42803,9031,-2932.0,0.4347745488250368,0.46674663322610543,0.09847881794885775,-0.03197208440106864,74619,64263,0.5372834492590832,0.4627165507409168,baseline-123,baseline,123,1234,baseline-123 | 20260608_170145_baseline-123_agent
20260608_170145_baseline-123_agent,-2 to 0,635525,272552,302959,60014,-30407.0,0.4288611777664136,0.476706659848157,0.09443216238542937,-0.04784548208174344,514184,465435,0.5248816121369635,0.47511838786303656,baseline-123,baseline,123,1234,baseline-123 | 20260608_170145_baseline-123_agent
20260608_170145_baseline-123_agent,1 to 2,183686,77905,89676,16105,-11771.0,0.4241205100007622,0.48820269372733904,0.08767679627189878,-0.06408218372657687,151350,148762,0.5043117236231807,0.49568827637681934,baseline-123,baseline,123,1234,baseline-123 | 20260608_170145_baseline-123_agent
20260608_170145_baseline-123_agent,>= 3,89084,37722,43682,7680,-5960.0,0.4234430425216649,0.49034619011270264,0.08621076736563243,-0.06690314759103767,73473,72248,0.5042032376939494,0.49579676230605063,baseline-123,baseline,123,1234,baseline-123 | 20260608_170145_baseline-123_agent
20260608_170145_baseline-123_agent,<= -3,91703,39879,42800,9024,-2921.0,0.4348712692060238,0.4667240984482514,0.09840463234572479,-0.031852829242227626,74611,64268,0.537237451306533,0.462762548693467,baseline-123,baseline,123,4321,baseline-123 | 20260608_170145_baseline-123_agent
20260608_170145_baseline-123_agent,-2 to 0,635458,272535,302923,60000,-30388.0,0.42887964271438866,0.4767002697267168,0.09442008755889453,-0.047820627012328115,514141,465335,0.5249143419542694,0.47508565804573055,baseline-123,baseline,123,4321,baseline-123 | 20260608_170145_baseline-123_agent
20260608_170145_baseline-123_agent,1 to 2,183824,77979,89728,16117,-11749.0,0.42420467403603446,0.4881190704151797,0.08767625554878579,-0.06391439637914527,151448,148911,0.5042232794755609,0.4957767205244391,baseline-123,baseline,123,4321,baseline-123 | 20260608_170145_baseline-123_agent
20260608_170145_baseline-123_agent,>= 3,89015,37689,43644,7682,-5955.0,0.4234005504690221,0.49029938774363874,0.08630006178733922,-0.06689883727461664,73407,72198,0.5041516431441228,0.4958483568558772,baseline-123,baseline,123,4321,baseline-123 | 20260608_170145_baseline-123_agent
20260608_170145_baseline-123_agent,<= -3,91615,39843,42756,9016,-2913.0,0.43489603230911966,0.46669213556731975,0.09841183212356056,-0.03179610325820008,74510,64233,0.5370361027222995,0.4629638972777005,baseline-123,baseline,123,9876,baseline-123 | 20260608_170145_baseline-123_agent
20260608_170145_baseline-123_agent,-2 to 0,635231,272458,302844,59929,-30386.0,0.4289116872444827,0.4767462545121381,0.09434205824337918,-0.047834567267655385,513904,465175,0.5248851216296131,0.47511487837038685,baseline-123,baseline,123,9876,baseline-123 | 20260608_170145_baseline-123_agent
20260608_170145_baseline-123_agent,1 to 2,184066,78115,89821,16130,-11706.0,0.42438581813045323,0.48798257146892965,0.08763161040061716,-0.06359675333847642,151699,149051,0.5044023275145469,0.49559767248545306,baseline-123,baseline,123,9876,baseline-123 | 20260608_170145_baseline-123_agent
