source,bucket,episodes,wins,losses,pushes,reward_sum,win_rate,loss_rate,push_rate,average_reward,stand_actions,hit_actions,stand_rate,hit_rate,agent_name,agent_type,train_seed,eval_seed,comparison_id
in_memory,<= -3,93062,40519,43188,9355,-2669.0,0.43539790677182955,0.4640777116331048,0.10052438159506566,-0.02867980486127528,75249,66049,0.5325553086384803,0.4674446913615196,baseline-1,baseline,1,1234,baseline-1 | in_memory
in_memory,>= 3,87580,37125,42906,7549,-5781.0,0.423898150262617,0.4899063713176524,0.08619547841973053,-0.0660082210550354,72578,69550,0.5106523696949229,0.4893476303050771,baseline-42,baseline,42,1234,baseline-42 | in_memory
in_memory,<= -3,90910,39911,42050,8949,-2139.0,0.43901660983390167,0.46254537454625455,0.0984380156198438,-0.023528764712352875,73852,62143,0.5430493768153241,0.4569506231846759,baseline-42,baseline,42,4321,baseline-42 | in_memory
in_memory,-2 to 0,636956,272509,304009,60438,-31500.0,0.42783017979263877,0.4772841452156821,0.09488567499167917,-0.04945396542304335,514585,460703,0.5276236352749136,0.4723763647250863,baseline-42,baseline,42,4321,baseline-42 | in_memory
in_memory,1 to 2,184538,78029,90472,16037,-12443.0,0.4228343213863811,0.49026216822551455,0.08690351038810434,-0.0674278468391334,151828,146772,0.5084661754855995,0.49153382451440053,baseline-42,baseline,42,4321,baseline-42 | in_memory
in_memory,>= 3,87596,37134,42914,7548,-5780.0,0.4239234668249692,0.4899082149869857,0.08616831818804511,-0.06598474816201653,72587,69560,0.5106474283664094,0.4893525716335906,baseline-42,baseline,42,4321,baseline-42 | in_memory
in_memory,<= -3,90930,39929,42037,8964,-2108.0,0.4391180028593423,0.4623006708457055,0.09858132629495216,-0.023182667986363138,73849,62101,0.5432070614196396,0.4567929385803604,baseline-42,baseline,42,9876,baseline-42 | in_memory
in_memory,-2 to 0,637420,272739,304209,60472,-31470.0,0.4278795770449625,0.47725047849141855,0.09486994446361896,-0.04937090144645603,514990,461088,0.5276115228496083,0.4723884771503917,baseline-42,baseline,42,9876,baseline-42 | in_memory
in_memory,1 to 2,184257,77873,90392,15992,-12519.0,0.4226325187102797,0.4905756633397917,0.08679181794992863,-0.06794314462951204,151558,146532,0.5084303398302527,0.4915696601697474,baseline-42,baseline,42,9876,baseline-42 | in_memory
in_memory,>= 3,87393,37042,42833,7518,-5791.0,0.4238554575309235,0.4901193459430389,0.08602519652603756,-0.06626388841211539,72404,69373,0.510689321963365,0.48931067803663497,baseline-42,baseline,42,9876,baseline-42 | in_memory
in_memory,<= -3,90846,39313,42269,9264,-2956.0,0.4327433238667635,0.4652819056425159,0.10197477049072055,-0.03253858177575237,71348,67954,0.5121821653673314,0.4878178346326686,counting-42,counting,42,1234,counting-42 | in_memory
